"aX","aY","aZ","gX","gY","gZ"
"0.911","0.175","0.124","-5.493","-10.62","-0.61"
"0.916","0.208","0.069","-4.15","-8.606","0.793"
"0.927","0.227","0.027","-2.93","-9.399","1.221"
"0.935","0.24","0.042","-2.319","-12.451","0.854"
"0.934","0.248","0.094","-2.258","-15.503","0.183"
"0.934","0.255","0.109","-3.54","-15.137","-0.183"
"0.931","0.276","0.078","-5.066","-12.634","-0.366"
"0.918","0.301","0.03","-6.165","-10.315","-0.732"
"0.904","0.308","-0.012","-6.47","-9.766","-1.709"
"0.889","0.297","-0.058","-6.775","-10.193","-3.174"
"0.863","0.272","-0.076","-6.653","-12.39","-4.395"
"0.849","0.244","-0.061","-5.981","-16.174","-4.456"
"0.856","0.233","-0.056","-6.47","-18.86","-3.235"
"0.859","0.237","-0.049","-7.935","-20.691","-1.709"
"0.868","0.238","-0.018","-9.277","-23.254","-0.732"
"0.874","0.265","-0.008","-10.071","-24.78","0.427"
"0.872","0.299","-0.022","-11.292","-25.208","1.099"
"0.859","0.318","-0.032","-11.658","-27.039","0.793"
"","","","","",""
"0.221","-0.095","2.914","-3.357","-13.977","11.536"
"0.154","-0.142","3.328","-6.714","4.15","14.648"
"0.014","-0.223","3.84","-8.545","27.161","15.991"
"-0.128","-0.385","4","-7.019","59.937","17.273"
"-0.26","-0.506","4","-6.409","115.479","24.597"
"-0.4","-0.486","4","-9.277","194.824","39.001"
"-0.564","-0.312","4","-10.315","293.274","54.932"
"-0.714","-0.127","3.796","-3.662","390.747","65.796"
"-0.805","-0.065","2.892","14.038","457.52","69.458"
"-0.793","-0.096","2.149","43.213","481.995","71.289"
"-0.752","0.09","1.566","74.402","475.952","83.74"
"-0.709","0.534","1.325","104.37","444.763","104.37"
"-0.698","1.021","1.547","130.493","401.184","115.784"
"-0.764","1.328","1.827","142.212","381.775","112.427"
"-0.829","1.467","1.585","136.353","407.227","100.525"
"-0.929","1.656","0.901","122.437","454.468","91.492"
"-0.981","1.878","0.062","109.07","491.699","81.116"
"-0.973","1.972","-0.804","101.135","505.249","60.73"
