"aX","aY","aZ","gX","gY","gZ"
"-0.557","0.841","2.056","-13.55","-54.016","195.496"
"-0.485","0.713","1.892","-8.972","-27.344","151.794"
"-0.389","0.52","1.711","-7.935","-10.742","122.07"
"-0.329","0.363","1.556","-4.578","-5.981","114.136"
"-0.3","0.295","1.45","0.183","-14.526","127.502"
"-0.296","0.361","1.425","11.658","-34.18","158.203"
"-0.37","0.535","1.486","26.367","-58.228","195.862"
"-0.516","0.725","1.618","34.668","-80.994","226.868"
"-0.558","0.852","1.795","29.236","-98.145","244.141"
"-0.61","0.96","1.965","11.414","-99.609","250.977"
"-0.635","1.081","2.099","-4.639","-88.562","253.967"
"-0.604","1.22","2.188","-13.855","-66.162","253.357"
"-0.561","1.364","2.179","-13.733","-32.349","248.901"
"-0.555","1.508","2.082","-1.953","7.935","239.441"
"-0.548","1.632","1.951","18.494","48.584","222.351"
"-0.547","1.698","1.771","40.955","88.379","193.97"
"-0.546","1.682","1.561","62.439","123.962","154.541"
"-0.541","1.576","1.318","75.806","153.137","108.093"
"-0.542","1.402","1.069","79.956","172.424","61.035"
"-0.533","1.197","0.859","74.951","178.406","19.592"
"-0.528","1.002","0.696","60.181","170.471","-11.353"
"-0.476","0.803","0.589","38.086","151.001","-32.959"
"-0.394","0.626","0.518","16.663","123.413","-41.443"
"-0.316","0.519","0.481","2.258","90.393","-33.752"
"-0.277","0.488","0.495","-7.935","54.016","-15.076"
"-0.262","0.505","0.597","-17.151","19.348","4.761"
"-0.271","0.573","0.767","-24.963","-7.202","20.386"
"-0.291","0.658","0.926","-31.616","-21.362","28.015"
"-0.315","0.709","1.052","-35.828","-22.766","24.353"
"-0.34","0.702","1.131","-38.269","-14.648","10.437"
"-0.349","0.63","1.148","-39.978","0.244","-8.24"
"-0.346","0.524","1.109","-39.49","17.639","-25.818"
"-0.348","0.43","1.02","-32.227","33.63","-36.56"
"-0.338","0.359","0.932","-20.996","43.945","-40.588"
"-0.321","0.309","0.865","-8.911","48.706","-40.283"
"-0.315","0.27","0.815","1.038","49.438","-37.354"
"-0.297","0.227","0.792","5.737","46.997","-34.485"
"-0.273","0.182","0.784","6.104","43.152","-31.616"
"-0.244","0.133","0.771","2.869","39.063","-28.809"
"-0.218","0.091","0.75","-2.563","35.156","-24.292"
"-0.21","0.071","0.732","-8.545","29.358","-15.93"
"-0.169","0.082","0.741","-13","20.752","-4.15"
"-0.198","0.134","0.765","-12.634","10.925","8.606"
"-0.181","0.209","0.829","-11.414","1.648","20.935"
"-0.19","0.297","0.885","-10.559","-3.662","29.175"
"","","","","",""
"-0.713","-0.442","2.169","-155.151","-179.565","-24.658"
